ds,y,syl
2019.12.29,7301.07,0.011544883
2019.12.30,7385.36,-0.022444404
2019.12.31,7219.6,-0.007104272
2020.1.1,7168.31,0.001028136
2020.1.2,7175.68,-0.032240847
2020.1.3,6944.33,0.055011787
2020.1.4,7326.35,0.002940072
2020.1.5,7347.89,0.000500824
2020.1.6,7351.57,0.055453461
2020.1.7,7759.24,0.052354354
2020.1.8,8165.47,-0.015041388
2020.1.9,8042.65,-0.027942283
2020.1.10,7817.92,0.046910176
2020.1.11,8184.66,-0.019936076
2020.1.12,8021.49,0.019008937
2020.1.13,8173.97,-0.008408399
2020.1.14,8105.24,0.090951039
2020.1.15,8842.42,-0.003226492
2020.1.16,8813.89,-0.010422186
2020.1.17,8722.03,0.020443635
2020.1.18,8900.34,0.001180854
2020.1.19,8910.85,-0.023285096
2020.1.20,8703.36,-0.008834519
2020.1.21,8626.47,0.011104194
2020.1.22,8722.26,-0.007259586
2020.1.23,8658.94,-0.0312775
2020.1.24,8388.11,0.004775808
2020.1.25,8428.17,-0.011961078
2020.1.26,8327.36,0.031349671
2020.1.27,8588.42,0.035787723
2020.1.28,8895.78,0.05507218
2020.1.29,9385.69,-0.011281003
2020.1.30,9279.81,0.02398325
2020.1.31,9502.37,-0.017742942
2020.2.1,9333.77,0.004748349
2020.2.2,9378.09,-0.006774301
2020.2.3,9314.56,-0.016363629
2020.2.4,9162.14,0
2020.2.5,9162.14,0.049416403
2020.2.6,9614.9,0.014639778
2020.2.7,9755.66,0.005317939
2020.2.8,9807.54,0.010153413
2020.2.9,9907.12,0.025768336
2020.2.10,10162.41,-0.030270379
2020.2.11,9854.79,0.042678738
2020.2.12,10275.38,0.007680495
2020.2.13,10354.3,-0.010804207
2020.2.14,10242.43,0.012311532
2020.2.15,10368.53,-0.044785519
2020.2.16,9904.17,0.003382414
2020.2.17,9937.67,-0.023520604
2020.2.18,9703.93,0.049126488
2020.2.19,10180.65,-0.056571044
2020.2.20,9604.72,0.000222807
2020.2.21,9606.86,0.00933916
2020.2.22,9696.58,-0.00277933
2020.2.23,9669.63,0.033068483
2020.2.24,9989.39,-0.032598587
2020.2.25,9663.75,-0.03669383
2020.2.26,9309.15,-0.056248959
2020.2.27,8785.52,0.002185414
2020.2.28,8804.72,-0.010490964
2020.2.29,8712.35,-0.020451428
2020.3.1,8534.17,0.044368697
2020.3.2,8912.82,0
2020.3.3,8912.82,-0.017781129
2020.3.4,8754.34,0.000520884
2020.3.5,8758.9,0.035220176
2020.3.6,9067.39,0.009760251
2020.3.7,9155.89,-0.02809776
2020.3.8,8898.63,-0.096559808
2020.3.9,8039.38,-0.013364215
2020.3.10,7931.94,-0.005859853
2020.3.11,7885.46,0.006491695
2020.3.12,7936.65,-0.391404434
2020.3.13,4830.21,0.161239366
2020.3.14,5609.03,-0.078938783
2020.3.15,5166.26,0.035263421
2020.3.16,5348.44,-0.060221298
2020.3.17,5026.35,0.065904682
2020.3.18,5357.61,0.009821544
2020.3.19,5410.23,0.14508995
