ds,yhat
2018.8.2,1233.502449
2018.8.3,1233.165395
2018.8.4,1233.165395
2018.8.5,1233.165395
2018.8.6,1230.652892
2018.8.7,1229.758444
2018.8.8,1228.542446
2018.8.9,1226.951224
2018.8.10,1225.554241
2018.8.11,1225.554241
2018.8.12,1225.554241
2018.8.13,1220.26887
2018.8.14,1220.77699
2018.8.15,1221.072415
2018.8.16,1221.108082
2018.8.17,1221.457147
2018.8.18,1221.457147
2018.8.19,1221.457147
2018.8.20,1222.116604
2018.8.21,1222.679792
2018.8.22,1223.123439
2018.8.23,1223.387259
2018.8.24,1224.029121
2018.8.25,1224.029121
2018.8.26,1224.029121
2018.8.27,1224.029121
2018.8.28,1226.713679
2018.8.29,1227.500383
2018.8.30,1228.060463
2018.8.31,1228.934331
2018.9.1,1228.934331
2018.9.2,1228.934331
2018.9.3,1230.846358
2018.9.4,1231.618574
2018.9.5,1232.122562
2018.9.6,1232.27656
2018.9.7,1232.621268
2018.9.8,1232.621268
2018.9.9,1232.621268
2018.9.10,1232.258027
2018.9.11,1232.074657
2018.9.12,1231.54742
2018.9.13,1230.611842
2018.9.14,1229.827744
2018.9.15,1229.827744
2018.9.16,1229.827744
2018.9.17,1226.051974
2018.9.18,1224.794806
2018.9.19,1223.261417
2018.9.20,1221.407516
2018.9.21,1219.811584
2018.9.22,1219.811584
2018.9.23,1219.811584
2018.9.24,1214.39437
2018.9.25,1212.893536
2018.9.26,1211.280239
2018.9.27,1209.512605
2018.9.28,1208.168227
2018.9.29,1208.168227
2018.9.30,1208.168227
2018.10.1,1204.440013
2018.10.2,1203.779323
2018.10.3,1203.120819
2018.10.4,1202.404861
2018.10.5,1202.189529
2018.10.6,1202.189529
2018.10.7,1202.189529
2018.10.8,1202.100306
2018.10.9,1202.663213
2018.10.10,1203.197249
2018.10.11,1204.308375
2018.10.12,1205.849009
2018.10.13,1205.849009
2018.10.14,1205.849009
2018.10.15,1210.434464
2018.10.16,1212.313399
2018.10.17,1214.026385
2018.10.18,1215.487524
2018.10.19,1217.232701
2018.10.20,1217.232701
2018.10.21,1217.232701
2018.10.22,1221.570705
2018.10.23,1223.096443
2018.10.24,1224.334547
2018.10.25,1225.210101
2018.10.26,1226.271417
2018.10.27,1226.271417
2018.10.28,1226.271417
2018.10.29,1228.107267
2018.10.30,1228.697755
2018.10.31,1228.97469
2018.11.1,1228.877441
2018.11.2,1228.967885
2018.11.3,1228.967885
2018.11.4,1228.967885
2018.11.5,1228.023042
2018.11.6,1227.764519
2018.11.7,1227.244888
2018.11.8,1226.409457
2018.11.9,1225.824616
2018.11.10,1225.824616
2018.11.11,1225.824616
2018.11.12,1223.256678
2018.11.13,1222.594079
2018.11.14,1221.737847
2018.11.15,1220.631639
2018.11.16,1219.839753
2018.11.17,1219.839753
2018.11.18,1219.839753
2018.11.19,1217.009336
2018.11.20,1216.37111
2018.11.21,1215.591957
2018.11.22,1214.614197
2018.11.23,1214.001297
2018.11.24,1214.001297
2018.11.25,1214.001297
2018.11.26,1212.010809
2018.11.27,1211.756007
2018.11.28,1211.414295
2018.11.29,1210.929807
2018.11.30,1210.867938
2018.12.1,1210.867938
2018.12.2,1210.867938
2018.12.3,1210.894928
2018.12.4,1211.438398
2018.12.5,1211.958622
2018.12.6,1212.0197
2018.12.7,1212.564723
2018.12.8,1212.564723
2018.12.9,1212.564723
2018.12.10,1214.747305
2018.12.11,1216.103969
2018.12.12,1217.473165
2018.12.13,1218.789608
